EmployeeID,FirstName,LastName,Gender,Age,MaritalStatus,EducationLevel,Department,JobRole,BusinessUnit,HireDate,YearsAtCompany,YearsInCurrentRole,ManagerID,ManagerSatisfaction,PerformanceRating,TrainingHoursLastYear,Certifications,WorkLifeBalance,JobSatisfaction,Overtime,RemoteWorkFrequency,MonthlyIncome,BonusPercentage,StockOptionLevel,PromotionLast3Years,LeavesTaken,AbsenteeismDays,HealthInsurance,CommuteDistance,City,State,Country,TravelFrequency,ProjectsHandled,TeamSize,Attrition,ExitReason,RehireEligibility,EngagementScore,LastPerformanceReview
1,Ahana ,Bawa,Femle,55,Marrid,Doctorate,Marketing,HR Manager,Field Sales,12-06-2021,4,1,,5,5,12,1,5,1,No,Always,199223,15,0,5,15,11,No,11,Kochi,Kerala,India,Frequently,20,14,Yes,Better Pay,No,100,25-11-2023
2,Adira,Dora,F,55,Single,High School,Supply Chain,DevOps Engineer,Field Sales,12-02-2017,8,6,,3,6,14,0,5,5,Yes,Rarely,199449,1,1,0,N/A,2,No,2,Kochi,Kerala,India,Frequently,7,ten,No,Career Growth,Yes,24,26-10-2022
3,Mehul,Wadhwa,M,53,Single,High School,Sales,Legal Associate,Corporate,06-12-2011,14,13,182,1,5,40,0,2,3,Yes,Rarely,169860,29,1,0,2,17,Yes,39,Surat,Gujarat,India,Frequently,8,ten,No,Career Growth,Yes,96,27-06-2013
4,Trisha,Balay,Other,49,Married,Graduate,Customer Support,DevOps Engineer,Technology,"Nov 18, 2017",8,7,,2,3,21,3,3,3,No,Never,134351,25,2,3,N/A,16,No,39,Siliguri,West Bengal,India,Always,0,7,No,Work-Life Balance,Yes,86,21-08-2024
5,Akarsh,Bahri,Femle,18,Marrid,Graduate,Finance,QA Engineer,Technology,23-12-2010,15,14,,5,1,17,0,5,5,No,Often,67331,11,1,3,N/A,6,Yes,26,Mysuru,Karnataka,India,Frequently,17,ten,No,Career Growth,Yes,6,19-05-2025
6,Yuvraj ,Bahri,Femle,32,Single,Graduate,Supply Chain,Analyst,Corporate,17-02-2020,5,2,266,4,4,70,0,2,3,No,Rarely,189757,5,1,3,N/A,17,No,17,Mumbai,Maharashtra,India,Always,0,ten,No,Career Growth,No,70,23-01-2025
7,Dishani,Borra,M,23,Marrid,High School,Information Tech,QA Engineer,Field Sales,11-08-2014,11,10,153,5,6,29,4,3,3,Yes,Often,₹80530,9,0,5,1,10,No,10,Siliguri,West Bengal,India,Frequently,9,15,No,,Yes,15,21-11-2014
8,Pranay,Shenoy,Female,53,Divorced,High School,Design,Business Analyst,Field Sales,06-10-2017,8,7,421,3,2,32,2,2,1,Yes,Often,₹20562,17,1,0,N/A,6,No,38,Coimbatore,Tamil Nadu,India,Frequently,7,7,Yes,,No,45,19-03-2023
9,Jivika,Chakrabarti,M,41,Married,Graduate,Supply Chain,Business Analyst,Technology,27-08-2024,1,0,48,2,2,2,2,3,5,no,Often,₹85982,13,2,3,N/A,11,Yes,49,Jaipur,Rajasthan,India,Frequently,16,ten,Yes,Work-Life Balance,No,18,03-02-2025
10,Zara,Samra,Male,40,Married,High School,Legal,Project Manager,Technology,"Jan 31, 2023",2,0,373,2,5,94,0,2,2,Yes,Sometimes,₹41965,24,1,3,12,5,Yes,27,Hyderabad,Telangana,India,Frequently,20,7,Yes,Career Growth,No,86,23-07-2025
11,Jhanvi,Jaggi,M,35,Single,High School,Design,Marketing Specialist,Field Sales,28-02-2014,11,11,,3,1,64,5,0,2,No,Always,16766,13,2,2,5,14,No,46,Bengaluru,Karnataka,Pakistan,Rarely,4,ten,No,Career Growth,No,26,08-09-2022
12,Neysa,Sura,F,45,Divorced,Doctorate,R&D,Data Scientist,Corporate,09-04-2013,12,11,400,3,6,10,5,1,2,Yes,Rarely,₹45271,27,3,2,14,0,Yes,46,Nagpur,Maharashtra,India,Frequently,18,6,Yes,Better Pay,No,60,26-07-2022
13,Arnav,Kothari,Other,50,Marrid,Postgraduate,Product,UI/UX Designer,Technology,05-08-2013,12,11,,4,6,74,2,0,4,No,Sometimes,₹90247,16,3,1,N/A,3,No,4,Siliguri,West Bengal,Sri Lanka,Frequently,8,ten,No,Better Pay,Yes,54,03-10-2013
14,Yashvi,Wali,Other,52,Divorced,Graduate,R&D,Sales Executive,Corporate,"Jan 30, 2016",9,6,294,5,1,82,2,3,2,No,Often,128615,11,2,1,N/A,3,Yes,3,Udaipur,Rajasthan,India,Frequently,5,10,No,,Yes,91,29-01-2021
15,Manikya,Vyas,Other,38,Divorced,Graduate,Marketing,Business Analyst,Corporate,04-09-2009,16,16,3,2,4,19,4,2,3,No,Never,61815,29,2,5,N/A,18,No,21,Surat,Gujarat,India,Frequently,6,6,No,Career Growth,Yes,86,12-04-2014
16,Amira,Cherian,F,33,Married,High School,Design,Sales Executive,Field Sales,04-03-2024,1,0,,3,4,37,3,3,3,No,Sometimes,₹62198,26,0,2,11,14,Yes,18,Mysuru,Karnataka,India,Frequently,15,ten,Yes,Work-Life Balance,No,80,29-03-2024
17,Shanaya,Mangal,M,50,Widowed,Postgraduate,Product,Sales Executive,Technology,12-09-2023,2,0,312,4,3,69,1,4,5,No,Sometimes,130398,12,0,3,16,12,Yes,10,Jaipur,Rajasthan,India,Rarely,0,5,Yes,Career Growth,Yes,4,07-03-2024
