EmployeeID,FirstName,LastName,Gender,Age,MaritalStatus,EducationLevel,Department,JobRole,BusinessUnit,HireDate,YearsAtCompany,YearsInCurrentRole,ManagerID,ManagerSatisfaction,PerformanceRating,TrainingHoursLastYear,Certifications,WorkLifeBalance,JobSatisfaction,Overtime,RemoteWorkFrequency,MonthlyIncome,BonusPercentage,StockOptionLevel,PromotionLast3Years,LeavesTaken,AbsenteeismDays,HealthInsurance,CommuteDistance,City,State,Country,TravelFrequency,ProjectsHandled,TeamSize,Attrition,ExitReason,RehireEligibility,EngagementScore,LastPerformanceReview,YearsAtCompany_bin,YearsInCurrentRole_bin,TrainingHoursLastYear_bin,PromotionLast3Years_bin,_target_numeric
1,Ahana,Bawa,femle,55,marrid,doctorate,marketing,hr manager,field sales,12-06-2021,4,1,,5,5,12.0,1,5,1,no,always,199223,15,0,5,15.0,11,no,11,kochi,kerala,india,frequently,20,14,yes,better pay,no,100,25-11-2023,3-5,0-1,10+,3-5,1
2,Adira,Dora,f,55,single,high school,supply chain,devops engineer,field sales,12-02-2017,8,6,,3,6,14.0,0,5,5,yes,rarely,199449,1,1,0,,2,no,2,kochi,kerala,india,frequently,7,ten,no,career growth,yes,24,26-10-2022,5-10,5-10,10+,0-1,0
3,Mehul,Wadhwa,m,53,single,high school,sales,legal associate,corporate,06-12-2011,14,13,182.0,1,5,40.0,0,2,3,yes,rarely,169860,29,1,0,2.0,17,yes,39,surat,gujarat,india,frequently,8,ten,no,career growth,yes,96,27-06-2013,10+,10+,10+,0-1,0
4,Trisha,Balay,other,49,married,graduate,customer support,devops engineer,technology,"Nov 18, 2017",8,7,,2,3,21.0,3,3,3,no,never,134351,25,2,3,,16,no,39,siliguri,west bengal,india,always,0,7,no,work-life balance,yes,86,21-08-2024,5-10,5-10,10+,1-3,0
5,Akarsh,Bahri,femle,18,marrid,graduate,finance,qa engineer,technology,23-12-2010,15,14,,5,1,17.0,0,5,5,no,often,67331,11,1,3,,6,yes,26,mysuru,karnataka,india,frequently,17,ten,no,career growth,yes,6,19-05-2025,10+,10+,10+,1-3,0
6,Yuvraj,Bahri,femle,32,single,graduate,supply chain,analyst,corporate,17-02-2020,5,2,266.0,4,4,70.0,0,2,3,no,rarely,189757,5,1,3,,17,no,17,mumbai,maharashtra,india,always,0,ten,no,career growth,no,70,23-01-2025,3-5,1-3,10+,1-3,0
7,Dishani,Borra,m,23,marrid,high school,information tech,qa engineer,field sales,11-08-2014,11,10,153.0,5,6,29.0,4,3,3,yes,often,80530,9,0,5,1.0,10,no,10,siliguri,west bengal,india,frequently,9,15,no,,yes,15,21-11-2014,10+,5-10,10+,3-5,0
8,Pranay,Shenoy,female,53,divorced,high school,design,business analyst,field sales,06-10-2017,8,7,421.0,3,2,32.0,2,2,1,yes,often,20562,17,1,0,,6,no,38,coimbatore,tamil nadu,india,frequently,7,7,yes,,no,45,19-03-2023,5-10,5-10,10+,0-1,1
9,Jivika,Chakrabarti,m,41,married,graduate,supply chain,business analyst,technology,27-08-2024,1,0,48.0,2,2,2.0,2,3,5,no,often,85982,13,2,3,,11,yes,49,jaipur,rajasthan,india,frequently,16,ten,yes,work-life balance,no,18,03-02-2025,0-1,0-1,1-3,1-3,1
10,Zara,Samra,male,40,married,high school,legal,project manager,technology,"Jan 31, 2023",2,0,373.0,2,5,94.0,0,2,2,yes,sometimes,41965,24,1,3,12.0,5,yes,27,hyderabad,telangana,india,frequently,20,7,yes,career growth,no,86,23-07-2025,1-3,0-1,10+,1-3,1
